log_price,car_age,km_per_year,motor_clean,marca,state_clean,câmbio,combustível,bancos_de_couro,teto_solar,tracao_4x4,blindado,unico_dono
11.15612194133691,3.0,21333.333333333332,1.0,Hyundai,STATE_OTHER,Manual,Flex,True,False,False,False,False
11.511934974596555,3.0,0.3333333333333333,1.3,Renault,SP,Automático,Flex,False,False,False,False,False
11.812296455066814,6.0,31931.166666666668,2.0,Chevrolet,SP,Automático,Flex,True,False,False,False,False
11.237185138527495,5.0,18757.4,1.5,Ford,SP,Automático,Flex,False,False,False,False,False
11.782196591288216,3.0,32614.0,1.3,Jeep,SP,Automático,Flex,True,False,False,False,False
11.44999631476691,4.0,24038.5,1.5,Honda,SP,Automático,Flex,False,False,False,False,False
10.16203685698089,13.0,11692.307692307691,1.0,Fiat,MG,Manual,Flex,False,False,False,False,False
11.313266479778829,6.0,29836.5,1.0,Volkswagen,SP,Automático,Flex,True,False,False,False,False
11.349241150793087,8.0,19987.125,1.8,Fiat,SP,Automático,Flex,False,False,False,False,False
10.460270761075149,13.0,11735.615384615385,1.4,Chevrolet,SP,Manual,Flex,False,False,False,False,False
12.349744326212377,2.0,18500.0,2.0,Audi,SP,Automático,Gasolina,True,False,False,False,False
11.383966460172834,4.0,14464.5,1.6,Renault,SP,Automático,Flex,False,False,False,False,False
11.511934974596555,3.0,39000.0,1.0,Volkswagen,SP,Automático,Flex,False,False,False,False,False
11.848690308590857,3.0,25363.666666666668,1.6,Chery,SP,Automático,Gasolina,True,True,False,False,False
11.797359769127505,4.0,23923.75,2.0,Jeep,SP,Automático,Diesel,True,False,True,False,False
11.804855999911272,4.0,15375.0,1.6,Chery,SP,Automático,Gasolina,True,True,False,False,False
11.40646434386837,4.0,26221.5,1.8,Jeep,SP,Automático,Flex,False,False,False,False,False
11.848690308590857,3.0,14971.666666666666,1.6,Chery,SP,Automático,Gasolina,False,False,False,False,False
11.481445117743048,3.0,31333.333333333332,1.3,Renault,SP,Automático,Flex,False,False,False,False,False
11.616393190430356,4.0,19924.25,1.4,Chevrolet,SP,Automático,Flex,True,False,False,False,False
12.132969552931216,0.5,23200.0,1.3,Jeep,SP,Automático,Flex,True,False,False,False,False
11.643084929027989,3.0,24333.333333333332,1.2,Chevrolet,SP,Automático,Flex,True,True,False,False,False
11.417526281205168,7.0,9173.857142857143,2.0,Jeep,SP,Automático,Flex,False,False,False,False,False
12.273268570141383,5.0,29311.8,2.0,Toyota,SP,Automático,Diesel,True,False,True,False,False
10.594156665220533,12.0,15073.666666666666,1.6,Nissan,SP,Manual,Flex,False,False,False,False,False
11.439289689006644,8.0,17478.25,2.0,Jeep,SP,Automático,Flex,True,False,False,False,False
11.47107168834584,4.0,9200.0,1.6,Hyundai,SP,Automático,Flex,False,False,False,False,False
10.568775236216993,12.0,7770.833333333333,2.0,Chery,PR,Manual,Gasolina,True,False,False,False,False
11.560772327227417,3.0,29597.0,1.0,Fiat,SP,Automático,Flex,True,False,False,False,False
11.917730355182513,2.0,30332.0,1.6,Chery,SP,Automático,Gasolina,True,True,False,False,False
